date,ticker,field,value
2013-08-14,MEXBOL Index,PX_HIGH,42723.87
2013-08-14,MEXBOL Index,PX_VOLUME,203147700.0
2013-08-15,MEXBOL Index,PX_OPEN,42430.11
2013-08-15,MEXBOL Index,PX_LAST,42155.34
2013-08-15,MEXBOL Index,PX_LOW,41890.4
2013-08-15,MEXBOL Index,PX_HIGH,42432.17
2013-08-15,MEXBOL Index,PX_VOLUME,177275000.0
2013-08-16,MEXBOL Index,PX_OPEN,42149.97
2013-08-16,MEXBOL Index,PX_LAST,42049.7
2013-08-16,MEXBOL Index,PX_LOW,41963.73
2013-08-16,MEXBOL Index,PX_HIGH,42217.28
2013-08-16,MEXBOL Index,PX_VOLUME,119842400.0
2013-08-19,MEXBOL Index,PX_OPEN,42049.7
2013-08-19,MEXBOL Index,PX_LAST,41484.25
2013-08-19,MEXBOL Index,PX_LOW,41319.86
2013-08-19,MEXBOL Index,PX_HIGH,42078.72
2013-08-19,MEXBOL Index,PX_VOLUME,236023600.0
2013-08-20,MEXBOL Index,PX_OPEN,41494.99
2013-08-20,MEXBOL Index,PX_LAST,41825.4
2013-08-20,MEXBOL Index,PX_LOW,41288.94
2013-08-20,MEXBOL Index,PX_HIGH,41865.54
2013-08-20,MEXBOL Index,PX_VOLUME,213233500.0
2013-08-21,MEXBOL Index,PX_OPEN,41824.71
2013-08-21,MEXBOL Index,PX_LAST,41458.16
2013-08-21,MEXBOL Index,PX_LOW,41262.33
2013-08-21,MEXBOL Index,PX_HIGH,41858.61
2013-08-21,MEXBOL Index,PX_VOLUME,238656000.0
2013-08-22,MEXBOL Index,PX_OPEN,41465.49
2013-08-22,MEXBOL Index,PX_LAST,41007.43
2013-08-22,MEXBOL Index,PX_LOW,40770.82
2013-08-22,MEXBOL Index,PX_HIGH,41711.02
2013-08-22,MEXBOL Index,PX_VOLUME,225393400.0
2013-08-23,MEXBOL Index,PX_OPEN,41004.51
2013-08-23,MEXBOL Index,PX_LAST,40925.13
2013-08-23,MEXBOL Index,PX_LOW,40681.27
2013-08-23,MEXBOL Index,PX_HIGH,41129.49
2013-08-23,MEXBOL Index,PX_VOLUME,198113800.0
2013-08-26,MEXBOL Index,PX_OPEN,40925.13
2013-08-26,MEXBOL Index,PX_LAST,40419.93
2013-08-26,MEXBOL Index,PX_LOW,40368.57
2013-08-26,MEXBOL Index,PX_HIGH,41054.0
2013-08-26,MEXBOL Index,PX_VOLUME,235308800.0
2013-08-27,MEXBOL Index,PX_OPEN,40419.58
2013-08-27,MEXBOL Index,PX_LAST,39656.0
2013-08-27,MEXBOL Index,PX_LOW,39525.03
